Duration (in seconds),Finished,RecordedDate,ResponseId,Q1,Q1_11_TEXT,Q3,Q5,Q5_17_TEXT,Q25,Q25_17_TEXT,Q22,Q22_10_TEXT,Q7,Q26,Job types,Mismatch,Response type,Communication type most helpful,Overdose burden,Communication type most common,Communication passive active
180,TRUE,2/1/2024 11:56,R_6dNmNS5ezTRrjXw,Local government,,"Fairfield,Litchfield","Regular messages [e.g. listserv] from opioid task force, prevention councils or other source,Communication with colleagues,Insights from harm reduction services,Insights from nearby drug testing sites",,Communication with colleagues,,"Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Inform the public about overdoses",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Other staff","Department of Mental Health and Addiction Services [DMHAS],Department of Public Health [DPH]",Government and health district,No,Informing the public,Peer information sharing,Higher overdose burden,Peer information sharing,Collaborative
167,TRUE,2/5/2024 7:51,R_5EN48NvRux1mJr3,Substance use treatment program,,Windham,"ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],Communication with patients/clients",,ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Notify people who use drugs about recent overdoses,Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Harm reduction van workers/street outreach,Other staff",Department of Mental Health and Addiction Services [DMHAS],SSPs and substance use treatment,No,Outreach to PWUD,State alerts,Lower overdose burden,State alerts,Passive
221,TRUE,2/5/2024 8:15,R_1ESeMg9wWPxb5RP,Other [please explain below],Drop in Center/food pantry,New London,"ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],ODMAP spike alert emails from local health governance [e.g. local health department/health district],Review of ODMAP or other overdose data [e.g. EpiCenter],Communication with patients/clients",,ODMAP spike alert emails from local health governance [e.g. local health department/health district],,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Inform the public about overdoses",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Harm reduction van workers/street outreach",My organization does not receive external funding for overdose prevention,Other,No,Outreach to PWUD,Local alerts,Higher overdose burden,State alerts,Passive
201,TRUE,2/6/2024 12:32,R_5FBhLsZNcT4JShj,Hospital,,Middlesex,"Regular messages [e.g. listserv] from opioid task force, prevention councils or other source",,"Regular messages [e.g. listserv] from opioid task force, prevention councils or other source",,Be on higher alert for an influx of patients,,"Other staff,Medical providers,Paramedics",My organization does not receive external funding for overdose prevention,First responder,No,Clinical and operational changes,Peer information sharing,Lower overdose burden,Peer information sharing,Passive
174,TRUE,2/6/2024 12:33,R_5K2ruR3jxn3GO8P,Harm reduction organization/SSP,,"Hartford,Middlesex","ODMAP spike alert text messages from local health governance,Review of ODMAP or other overdose data [e.g. EpiCenter],Communication with colleagues,Communication with patients/clients,Insights from harm reduction services",,Insights from harm reduction services,,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Inform the public about overdoses,Increased surveillance of affected areas,Modify or elevate preemptive overdose prevention protocols",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Harm reduction van workers/street outreach,Client-facing staff",Other harm reduction funding,SSPs and substance use treatment,No,Outreach to PWUD,Peer information sharing,Higher overdose burden,Platform information,Passive
189,TRUE,2/6/2024 12:39,R_1kOoTNa01ssZ1rX,Other [please explain below],Social Services,Middlesex,"ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],Review of ODMAP or other overdose data [e.g. EpiCenter],Regular messages [e.g. listserv] from opioid task force, prevention councils or other source,Communication with colleagues,Insights from harm reduction services",,Communication with colleagues,,Notify people who use drugs about recent overdoses,,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Client-facing staff",Department of Mental Health and Addiction Services [DMHAS],Other,No,Outreach to PWUD,Peer information sharing,Lower overdose burden,State alerts,Passive
140,TRUE,2/6/2024 12:55,R_5D1uItcuDcAd1GV,Local ambulance/EMS service,,"New Haven,Hartford,Middlesex",ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],,Review of ODMAP or other overdose data [e.g. EpiCenter],,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Medical providers,Paramedics,Emergency dispatch",Department of Public Health [DPH],First responder,Yes,Outreach to PWUD,Platform information,Higher overdose burden,State alerts,Passive
245,TRUE,2/6/2024 12:56,R_5zkGL5f7xUVISnD,Local health department/district,,New London,"ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],Review of ODMAP or other overdose data [e.g. EpiCenter]",,Review of ODMAP or other overdose data [e.g. EpiCenter],,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known",,"Harm reduction van workers/street outreach,Other staff",Other harm reduction funding,Government and health district,No,Outreach to PWUD,Platform information,Higher overdose burden,State alerts,Passive
280,TRUE,2/6/2024 12:57,R_5DXOcxvCGkN8hlm,Local health department/district,,New London,"ODMAP spike alert emails from local health governance [e.g. local health department/health district],Review of ODMAP or other overdose data [e.g. EpiCenter],Regular messages [e.g. listserv] from opioid task force, prevention councils or other source,Phone calls from CT DPH,Communication with colleagues",,Phone calls from CT DPH,,Other [please explain below],Communication with first responders and healthcare personnel,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Other staff",Department of Public Health [DPH],Government and health district,No,Other,State alerts,Higher overdose burden,Platform information,Passive
322,TRUE,2/6/2024 12:58,R_6m8pSMOOixCFSBX,Substance use treatment program,,"Fairfield,Windham,New Haven,New London,Hartford,Middlesex","ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],ODMAP spike alert emails from local health governance [e.g. local health department/health district],Review of ODMAP or other overdose data [e.g. EpiCenter],Communication with colleagues,Communication with patients/clients,Insights from harm reduction services",,Communication with colleagues,,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Inform the public about overdoses,Investigate reasons for recent overdoses",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Harm reduction van workers/street outreach,Client-facing staff,Medical providers,First responders,I am not sure","Department of Mental Health and Addiction Services [DMHAS],Department of Public Health [DPH],Other harm reduction funding",SSPs and substance use treatment,No,Outreach to PWUD,Peer information sharing,Higher overdose burden,State alerts,Passive
119,TRUE,2/6/2024 13:19,R_7yXe6iWr4GCeatz,Substance use treatment program,,Middlesex,"ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],ODMAP spike alert emails from local health governance [e.g. local health department/health district],ODMAP spike alert text messages from local health governance,Review of ODMAP or other overdose data [e.g. EpiCenter],Regular messages [e.g. listserv] from local first responder agency,Regular messages [e.g. listserv] from opioid task force, prevention councils or other source,Communication with colleagues,Insights from harm reduction services,Insights from nearby drug testing sites",,ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Be on higher alert for an influx of patients",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Harm reduction van workers/street outreach,Client-facing staff,Medical providers",Department of Public Health [DPH],SSPs and substance use treatment,No,Outreach to PWUD,State alerts,Lower overdose burden,State alerts,Passive
209,TRUE,2/6/2024 13:30,R_1msYZgZYRudcyBb,Other [please explain below],Non-Profit organization helping people with addiction and recovery ,"Windham,New London","Review of ODMAP or other overdose data [e.g. EpiCenter],Communication with colleagues,Communication with patients/clients,Insights from harm reduction services",,"Regular messages [e.g. listserv] from opioid task force, prevention councils or other source",,"Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Inform the public about overdoses",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager]",Other harm reduction funding,Other,Yes,Outreach to PWUD,Peer information sharing,Lower overdose burden,Platform information,Passive
70,TRUE,2/6/2024 13:31,R_13yDl1KSWnJPX33,"Local ambulance/EMS service,Harm reduction organization/SSP",,Middlesex,"ODMAP spike alert emails from local health governance [e.g. local health department/health district],Communication with colleagues,Communication with patients/clients,Insights from harm reduction services",,ODMAP spike alert emails from local health governance [e.g. local health department/health district],,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Inform the public about overdoses,Be on higher alert for an influx of patients,Increased surveillance of affected areas,Investigate reasons for recent overdoses",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Harm reduction van workers/street outreach,First responders",Other harm reduction funding,First responder,No,Outreach to PWUD,Local alerts,Lower overdose burden,Peer information sharing,Collaborative
229,TRUE,2/6/2024 13:34,R_1M5yqIgBrJ7JbvH,"Substance use treatment program,Harm reduction organization/SSP",,"Windham,New London,Hartford","ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],ODMAP spike alert text messages from local health governance,Review of ODMAP or other overdose data [e.g. EpiCenter],Communication with colleagues,Communication with patients/clients,Insights from harm reduction services",,ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Harm reduction van workers/street outreach","Department of Mental Health and Addiction Services [DMHAS],Department of Public Health [DPH],Other harm reduction funding",SSPs and substance use treatment,No,Outreach to PWUD,State alerts,Lower overdose burden,State alerts,Passive
993,TRUE,2/6/2024 13:36,R_6VCRiXd8IjcQC1d,Local health department/district,,New London,Review of ODMAP or other overdose data [e.g. EpiCenter],,Review of ODMAP or other overdose data [e.g. EpiCenter],,Inform the public about overdoses,,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager]","Department of Mental Health and Addiction Services [DMHAS],Department of Public Health [DPH]",Government and health district,No,Informing the public,Platform information,Higher overdose burden,Platform information,Passive
163,TRUE,2/6/2024 13:37,R_73UILRWZ5ljiMsx,Local health department/district,,New London,"ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],Regular messages [e.g. listserv] from opioid task force, prevention councils or other source,Phone calls from CT DPH,Phone calls about overdoses [not from ODMAP],Communication with colleagues,Communication with patients/clients,Insights from harm reduction services",,Insights from harm reduction services,,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Be on higher alert for an influx of patients,Modify or elevate preemptive overdose prevention protocols,Refer patients/clients to local drug testing sites",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Harm reduction van workers/street outreach,Other staff",Department of Public Health [DPH],Government and health district,No,Outreach to PWUD,Peer information sharing,Higher overdose burden,State alerts,Passive
208,TRUE,2/6/2024 14:04,R_1bWBUhys5cGJCEF,Local health department/district,,"Tolland,New London,Hartford,Middlesex","ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],Review of ODMAP or other overdose data [e.g. EpiCenter],Regular messages [e.g. listserv] from opioid task force, prevention councils or other source,Communication with colleagues",,"Regular messages [e.g. listserv] from opioid task force, prevention councils or other source",,"Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Inform the public about overdoses",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Other staff",Other harm reduction funding,Government and health district,No,Informing the public,Peer information sharing,Lower overdose burden,State alerts,Passive
228,TRUE,2/6/2024 14:06,R_5R43T8c3R9fZ25M,Harm reduction organization/SSP,,New London,"ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],ODMAP spike alert emails from local health governance [e.g. local health department/health district],ODMAP spike alert text messages from local health governance,Review of ODMAP or other overdose data [e.g. EpiCenter],Regular messages [e.g. listserv] from opioid task force, prevention councils or other source,Text messages about overdoses [not from ODMAP],Communication with colleagues,Communication with patients/clients,Insights from harm reduction services",,Insights from harm reduction services,,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Inform the public about overdoses,Increased surveillance of affected areas",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Harm reduction van workers/street outreach,Client-facing staff,Other staff","Department of Mental Health and Addiction Services [DMHAS],Department of Public Health [DPH],Other harm reduction funding",SSPs and substance use treatment,No,Outreach to PWUD,Peer information sharing,Higher overdose burden,State alerts,Passive
244,TRUE,2/6/2024 14:16,R_51nEKq7pv8dtz8M,Hospital,,Middlesex,"Regular messages [e.g. listserv] from opioid task force, prevention councils or other source",,"Regular messages [e.g. listserv] from opioid task force, prevention councils or other source",,"Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Be on higher alert for an influx of patients,Modify or elevate preemptive overdose prevention protocols",,I am not sure,,First responder,No,Outreach to PWUD,Peer information sharing,Lower overdose burden,Peer information sharing,Passive
157,TRUE,2/6/2024 14:44,R_5KPtlPsFGgiGYjD,"Substance use treatment program,Harm reduction organization/SSP",,Windham,"ODMAP spike alert emails from local health governance [e.g. local health department/health district],Phone calls from CT DPH,Communication with colleagues,Communication with patients/clients",,Regular messages [e.g. listserv] from local first responder agency,,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""]",,Harm reduction van workers/street outreach,Department of Mental Health and Addiction Services [DMHAS],SSPs and substance use treatment,Yes,Outreach to PWUD,Peer information sharing,Lower overdose burden,State alerts,Collaborative
510,TRUE,2/6/2024 15:48,R_3DfvPFmclXZmfdv,Other [please explain below],Federally Qualified Health Center,"Fairfield,New Haven,New London,Hartford,Middlesex","Regular messages [e.g. listserv] from opioid task force, prevention councils or other source,Phone calls from CT DPH,Communication with colleagues,Communication with patients/clients,Insights from harm reduction services",,"Regular messages [e.g. listserv] from opioid task force, prevention councils or other source",,"Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Be on higher alert for an influx of patients,Refer patients/clients to local drug testing sites",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Medical providers",Department of Public Health [DPH],Other,No,Outreach to PWUD,Peer information sharing,Higher overdose burden,State alerts,Collaborative
150,TRUE,2/7/2024 5:52,R_77OPbjxTBp5ZBbY,"Substance use treatment program,Harm reduction organization/SSP",,Middlesex,"ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],Review of ODMAP or other overdose data [e.g. EpiCenter],Regular messages [e.g. listserv] from local first responder agency,Regular messages [e.g. listserv] from opioid task force, prevention councils or other source,Communication with patients/clients,Insights from harm reduction services",,Communication with patients/clients,,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Modify or elevate preemptive overdose prevention protocols",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Client-facing staff,Medical providers",My organization does not receive external funding for overdose prevention,SSPs and substance use treatment,No,Outreach to PWUD,Client information sharing,Lower overdose burden,State alerts,Passive
186,TRUE,2/7/2024 7:10,R_7ax9SQLKCTXXBMf,Harm reduction organization/SSP,,"Fairfield,Litchfield,Tolland,Windham,New Haven,New London,Hartford,Middlesex","Communication with colleagues,Communication with patients/clients,Insights from harm reduction services",,Communication with colleagues,,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Notify people who use drugs about recent overdoses,Increased surveillance of affected areas",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager]",Department of Mental Health and Addiction Services [DMHAS],SSPs and substance use treatment,No,Outreach to PWUD,Peer information sharing,Higher overdose burden,Peer information sharing,Collaborative
